sports_book,bet_type,over/under,player_names,odds,stat_threshold,us_odds,position,team,opp,minutes,possessions,fd_points,points,assists,rebounds,offensive_rebounds,defensive_rebounds,blocks,steals,fouls,turnovers,two_pt_attempts,two_pt_fg,three_pt_attempts,three_pt_fg,free_throw_attempts,free_throws_made,roster_pos,confirmed,double_doubles,triple_doubles,injury,site,fd_std,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,timestamp,date,slate_id,gid,matchup
fanduel,player_assists,Over,Jaden Ivey,1.85,4.5,-117,SG/PG,DET,MIN,31.8135,62.1733,31.2045,18.9937,4.61067,3.41233,0.976,2.43633,0.555,0.914333,2.76767,3.208,9.60433,4.73933,5.03633,1.72633,5.89533,4.336,SG/PG,False,0.0233333,0.0,,fd,8.74223,25.2,30.9,37.1,40.115,45.6,53.2,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,DET vs MIN
fanduel,player_assists,Under,Jaden Ivey,1.96,4.5,-104,SG/PG,DET,MIN,31.8135,62.1733,31.2045,18.9937,4.61067,3.41233,0.976,2.43633,0.555,0.914333,2.76767,3.208,9.60433,4.73933,5.03633,1.72633,5.89533,4.336,SG/PG,False,0.0233333,0.0,,fd,8.74223,25.2,30.9,37.1,40.115,45.6,53.2,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,DET vs MIN
fanduel,player_assists,Over,Killian Hayes,1.71,5.5,-140,PG,DET,MIN,33.1771,64.5143,23.6215,8.16267,6.029,2.60833,0.716,1.89233,0.429667,1.155,2.735,1.46867,6.18533,2.69367,1.83233,0.573667,1.388,1.05433,PG,False,0.0316667,0.0,,fd,7.32152,18.7,23.25,28.5,31.2,35.9,41.701,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,DET vs MIN
fanduel,player_assists,Under,Killian Hayes,2.14,5.5,114,PG,DET,MIN,33.1771,64.5143,23.6215,8.16267,6.029,2.60833,0.716,1.89233,0.429667,1.155,2.735,1.46867,6.18533,2.69367,1.83233,0.573667,1.388,1.05433,PG,False,0.0316667,0.0,,fd,7.32152,18.7,23.25,28.5,31.2,35.9,41.701,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,DET vs MIN
fanduel,player_assists,Over,Anthony Edwards,1.91,4.5,-109,SG/SF,MIN,DET,35.6471,69.0197,44.0369,26.5443,4.96733,4.42267,0.837333,3.58533,0.627667,1.82467,2.99,2.62267,12.6653,6.99,5.99833,2.39467,6.63167,5.38033,SG/SF,False,0.0453333,0.000666667,Q,fd,10.295,36.7,43.6,50.8,54.515,61.8,69.501,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,MIN vs DET
fanduel,player_assists,Under,Anthony Edwards,1.91,4.5,-109,SG/SF,MIN,DET,35.6471,69.0197,44.0369,26.5443,4.96733,4.42267,0.837333,3.58533,0.627667,1.82467,2.99,2.62267,12.6653,6.99,5.99833,2.39467,6.63167,5.38033,SG/SF,False,0.0453333,0.000666667,Q,fd,10.295,36.7,43.6,50.8,54.515,61.8,69.501,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,MIN vs DET
fanduel,player_assists,Over,Karl Anthony Towns,2.4,3.5,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fanduel,player_assists,Under,Karl Anthony Towns,1.58,3.5,-172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fanduel,player_assists,Over,Mike Conley,1.75,6.5,-133,PG,MIN,DET,30.0384,57.9167,26.5513,11.055,6.45067,2.34333,0.428,1.91533,0.115333,1.215,2.41967,0.982667,3.34,1.73133,4.71867,2.09133,1.56533,1.31833,PG,False,0.0716667,0.0,,fd,7.65396,21.2,26.3,31.5,34.3,39.9,45.7,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,MIN vs DET
fanduel,player_assists,Under,Mike Conley,2.1,6.5,110,PG,MIN,DET,30.0384,57.9167,26.5513,11.055,6.45067,2.34333,0.428,1.91533,0.115333,1.215,2.41967,0.982667,3.34,1.73133,4.71867,2.09133,1.56533,1.31833,PG,False,0.0716667,0.0,,fd,7.65396,21.2,26.3,31.5,34.3,39.9,45.7,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,MIN vs DET
fanduel,player_assists_alternate,Over,Mike Conley,1.07,3.5,-1428,PG,MIN,DET,30.0384,57.9167,26.5513,11.055,6.45067,2.34333,0.428,1.91533,0.115333,1.215,2.41967,0.982667,3.34,1.73133,4.71867,2.09133,1.56533,1.31833,PG,False,0.0716667,0.0,,fd,7.65396,21.2,26.3,31.5,34.3,39.9,45.7,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,MIN vs DET
fanduel,player_assists_alternate,Over,Killian Hayes,1.12,3.5,-833,PG,DET,MIN,33.1771,64.5143,23.6215,8.16267,6.029,2.60833,0.716,1.89233,0.429667,1.155,2.735,1.46867,6.18533,2.69367,1.83233,0.573667,1.388,1.05433,PG,False,0.0316667,0.0,,fd,7.32152,18.7,23.25,28.5,31.2,35.9,41.701,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,DET vs MIN
fanduel,player_assists_alternate,Over,Jaden Ivey,1.37,3.5,-270,SG/PG,DET,MIN,31.8135,62.1733,31.2045,18.9937,4.61067,3.41233,0.976,2.43633,0.555,0.914333,2.76767,3.208,9.60433,4.73933,5.03633,1.72633,5.89533,4.336,SG/PG,False,0.0233333,0.0,,fd,8.74223,25.2,30.9,37.1,40.115,45.6,53.2,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,DET vs MIN
fanduel,player_assists_alternate,Over,Anthony Edwards,1.42,3.5,-238,SG/SF,MIN,DET,35.6471,69.0197,44.0369,26.5443,4.96733,4.42267,0.837333,3.58533,0.627667,1.82467,2.99,2.62267,12.6653,6.99,5.99833,2.39467,6.63167,5.38033,SG/SF,False,0.0453333,0.000666667,Q,fd,10.295,36.7,43.6,50.8,54.515,61.8,69.501,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,MIN vs DET
fanduel,player_assists_alternate,Over,Karl Anthony Towns,2.4,3.5,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fanduel,player_assists_alternate,Over,Mike Conley,1.38,5.5,-263,PG,MIN,DET,30.0384,57.9167,26.5513,11.055,6.45067,2.34333,0.428,1.91533,0.115333,1.215,2.41967,0.982667,3.34,1.73133,4.71867,2.09133,1.56533,1.31833,PG,False,0.0716667,0.0,,fd,7.65396,21.2,26.3,31.5,34.3,39.9,45.7,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,MIN vs DET
fanduel,player_assists_alternate,Over,Killian Hayes,1.69,5.5,-144,PG,DET,MIN,33.1771,64.5143,23.6215,8.16267,6.029,2.60833,0.716,1.89233,0.429667,1.155,2.735,1.46867,6.18533,2.69367,1.83233,0.573667,1.388,1.05433,PG,False,0.0316667,0.0,,fd,7.32152,18.7,23.25,28.5,31.2,35.9,41.701,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,DET vs MIN
fanduel,player_assists_alternate,Over,Jaden Ivey,2.7,5.5,170,SG/PG,DET,MIN,31.8135,62.1733,31.2045,18.9937,4.61067,3.41233,0.976,2.43633,0.555,0.914333,2.76767,3.208,9.60433,4.73933,5.03633,1.72633,5.89533,4.336,SG/PG,False,0.0233333,0.0,,fd,8.74223,25.2,30.9,37.1,40.115,45.6,53.2,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,DET vs MIN
fanduel,player_assists_alternate,Over,Anthony Edwards,2.75,5.5,175,SG/SF,MIN,DET,35.6471,69.0197,44.0369,26.5443,4.96733,4.42267,0.837333,3.58533,0.627667,1.82467,2.99,2.62267,12.6653,6.99,5.99833,2.39467,6.63167,5.38033,SG/SF,False,0.0453333,0.000666667,Q,fd,10.295,36.7,43.6,50.8,54.515,61.8,69.501,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,MIN vs DET
fanduel,player_assists_alternate,Over,Karl Anthony Towns,7.5,5.5,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fanduel,player_assists_alternate,Over,Mike Conley,2.4,7.5,140,PG,MIN,DET,30.0384,57.9167,26.5513,11.055,6.45067,2.34333,0.428,1.91533,0.115333,1.215,2.41967,0.982667,3.34,1.73133,4.71867,2.09133,1.56533,1.31833,PG,False,0.0716667,0.0,,fd,7.65396,21.2,26.3,31.5,34.3,39.9,45.7,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,MIN vs DET
fanduel,player_assists_alternate,Over,Killian Hayes,3.2,7.5,220,PG,DET,MIN,33.1771,64.5143,23.6215,8.16267,6.029,2.60833,0.716,1.89233,0.429667,1.155,2.735,1.46867,6.18533,2.69367,1.83233,0.573667,1.388,1.05433,PG,False,0.0316667,0.0,,fd,7.32152,18.7,23.25,28.5,31.2,35.9,41.701,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,DET vs MIN
fanduel,player_assists_alternate,Over,Jaden Ivey,7.5,7.5,650,SG/PG,DET,MIN,31.8135,62.1733,31.2045,18.9937,4.61067,3.41233,0.976,2.43633,0.555,0.914333,2.76767,3.208,9.60433,4.73933,5.03633,1.72633,5.89533,4.336,SG/PG,False,0.0233333,0.0,,fd,8.74223,25.2,30.9,37.1,40.115,45.6,53.2,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,DET vs MIN
fanduel,player_assists_alternate,Over,Anthony Edwards,8.0,7.5,700,SG/SF,MIN,DET,35.6471,69.0197,44.0369,26.5443,4.96733,4.42267,0.837333,3.58533,0.627667,1.82467,2.99,2.62267,12.6653,6.99,5.99833,2.39467,6.63167,5.38033,SG/SF,False,0.0453333,0.000666667,Q,fd,10.295,36.7,43.6,50.8,54.515,61.8,69.501,1705485823000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,ba7f8f0f-da1a-416b-994c-12f395cf36e7,MIN vs DET
